STATECD,COUNTYCD,PLOT,start_year,end_year,mortality_pct
17,1,2,1985,1998,0.0
17,1,8,1985,1998,0.0
17,1,9,1985,1998,0.0
17,1,18,1985,1998,0.0
17,1,48,1985,1998,0.0
17,1,54,1985,1998,4.3478260869565215
17,1,93,1985,1998,26.31578947368421
17,1,106,1985,1998,34.78260869565217
17,1,109,1985,1998,0.0
17,1,119,1985,1998,14.285714285714286
17,1,133,1985,1998,39.130434782608695
17,1,134,1985,1998,0.0
17,1,139,1985,1998,16.666666666666668
17,1,141,1985,1998,0.0
17,1,143,1985,1998,0.0
17,1,146,1985,1998,0.0
17,1,160,1985,1998,0.0
17,1,20062,2005,2010,0.0
17,1,20062,2010,2016,5.660377358490566
17,1,20066,2001,2006,0.0
17,1,20066,2006,2011,0.0
17,1,20066,2011,2017,7.6923076923076925
17,1,20066,2017,2024,33.333333333333336
17,1,20075,2001,2006,0.0
17,1,20075,2006,2011,0.0
17,1,20075,2011,2016,0.0
17,1,20075,2016,2023,0.0
17,1,20083,2004,2009,4.878048780487805
17,1,20083,2009,2014,5.128205128205129
17,1,20091,2004,2009,0.0
17,1,20091,2009,2015,0.0
17,1,20091,2015,2022,0.0
17,1,20106,2003,2008,0.0
17,1,20106,2008,2013,0.0
17,1,20106,2013,2020,4.0
17,1,20109,2004,2009,0.0
17,1,20109,2009,2014,0.0
17,1,20110,2002,2007,0.0
17,1,20110,2007,2012,4.545454545454546
17,1,20110,2012,2018,9.523809523809524
17,1,20114,2001,2006,0.0
17,1,20114,2006,2011,0.0
17,1,20114,2011,2017,0.0
17,1,20114,2017,2024,9.090909090909092
17,1,20147,2002,2007,0.0
17,1,20147,2007,2012,0.0
17,1,20147,2012,2019,0.0
17,1,20150,2001,2006,0.0
17,1,20150,2006,2011,20.0
17,1,20150,2011,2018,0.0
17,1,20151,2001,2006,0.0
17,1,20151,2006,2011,3.0303030303030303
17,1,20151,2011,2017,3.125
17,1,20151,2017,2024,9.67741935483871
17,1,20159,2003,2008,0.0
17,1,20159,2008,2013,0.0
17,1,20159,2013,2020,0.0
17,1,20167,2001,2006,15.384615384615385
17,1,20167,2006,2011,0.0
17,1,20167,2011,2017,0.0
17,1,20167,2017,2024,77.41935483870968
17,1,20208,2003,2008,0.0
17,1,20208,2008,2013,0.0
17,1,20208,2013,2020,0.0
17,3,1,1985,1998,13.333333333333334
17,3,9,1985,1998,0.0
17,3,11,1985,1998,30.303030303030305
17,3,15,1985,1998,15.0
17,3,16,1985,1998,11.538461538461538
17,3,20,1985,1998,23.076923076923077
17,3,23,1985,1998,0.0
17,3,36,1985,1998,0.0
17,3,40,1985,1998,0.0
17,3,9001,1985,1998,0.0
17,3,9002,1985,1998,0.0
17,3,9003,1985,1998,0.0
17,3,9004,1985,1998,0.0
17,3,9005,1985,1998,0.0
17,3,9006,1985,1998,0.0
17,3,9007,1985,1998,0.0
17,3,9008,1985,1998,0.0
17,3,9009,1985,1998,0.0
17,3,9010,1985,1998,0.0
17,3,10206,2006,2011,0.0
17,3,10206,2011,2017,0.0
17,3,10206,2017,2024,0.0
17,3,10207,2006,2011,0.0
17,3,10207,2011,2017,0.0
17,3,10207,2017,2024,12.5
17,3,10208,2006,2011,0.0
17,3,10208,2011,2017,0.0
17,3,10208,2017,2024,0.0
17,3,10210,2007,2012,0.0
17,3,10210,2012,2019,0.0
17,3,10211,2007,2012,0.0
17,3,10211,2012,2018,0.0
17,3,10212,2007,2012,0.0
17,3,10212,2012,2018,4.3478260869565215
17,3,10213,2007,2012,0.0
17,3,10213,2012,2019,3.4482758620689653
17,3,10214,2008,2013,0.0
17,3,10214,2013,2020,0.0
17,3,20019,2005,2010,0.0
17,3,20019,2010,2023,31.428571428571427
17,3,20024,2004,2009,0.0
17,3,20024,2009,2014,6.896551724137931
17,3,20024,2014,2021,0.0
17,3,20027,2001,2006,28.571428571428573
17,3,20027,2006,2011,0.0
17,3,20027,2011,2017,0.0
17,3,20027,2017,2024,0.0
17,3,20028,2010,2016,0.0
17,3,20028,2016,2023,0.0
17,3,20029,2002,2007,0.0
17,3,20029,2007,2012,6.666666666666667
17,3,20029,2012,2018,0.0
17,3,20037,2004,2009,0.0
17,3,20037,2009,2014,0.0
17,3,20037,2014,2021,6.666666666666667
17,3,20042,2005,2010,0.0
17,3,20042,2010,2015,4.3478260869565215
17,3,20042,2015,2022,0.0
17,3,20045,2003,2008,0.0
17,3,20045,2008,2013,0.0
17,3,20045,2013,2020,0.0
17,3,20049,2001,2006,0.0
17,3,20049,2006,2024,5.555555555555555
17,3,20201,2001,2006,0.0
17,3,20201,2006,2011,37.5
17,3,20201,2011,2018,0.0
17,3,20202,2004,2009,0.0
17,3,20202,2009,2014,8.571428571428571
17,3,20202,2014,2021,0.0
17,3,20203,2010,2016,0.0
17,3,20203,2016,2023,0.0
17,3,20204,2005,2010,0.0
17,3,20204,2010,2015,0.0
17,3,20204,2015,2022,5.0
17,3,20205,2004,2009,0.0
17,3,20205,2009,2014,0.0
17,3,20205,2014,2021,11.764705882352942
17,3,29003,2002,2007,7.142857142857143
17,3,29003,2007,2012,15.384615384615385
17,3,29003,2012,2019,0.0
17,3,29004,2003,2008,0.0
17,3,29004,2008,2013,0.0
17,3,29004,2013,2020,9.375
17,5,3,1985,1998,22.5
17,5,6,1985,1998,37.142857142857146
17,5,15,1985,1998,46.51162790697674
17,5,17,1985,1998,15.384615384615385
17,5,21,1985,1998,14.285714285714286
17,5,22,1985,1998,40.90909090909091
17,5,31,1985,1998,0.0
17,5,36,1985,1998,4.166666666666667
17,5,48,1985,1998,0.0
17,5,53,1985,1998,21.428571428571427
17,5,20002,2002,2007,0.0
17,5,20002,2007,2012,0.0
17,5,20002,2012,2018,0.0
17,5,20003,2004,2009,0.0
17,5,20003,2009,2014,0.0
17,5,20003,2014,2021,7.142857142857143
17,5,20019,2003,2008,11.11111111111111
17,5,20019,2008,2013,4.166666666666667
17,5,20019,2013,2019,8.695652173913043
17,5,20022,2003,2008,6.0606060606060606
17,5,20022,2008,2013,3.225806451612903
17,5,20022,2013,2020,0.0
17,5,20033,2003,2008,0.0
17,5,20033,2008,2013,0.0
17,5,20033,2013,2020,0.0
17,5,20036,2005,2015,0.0
17,5,20036,2015,2022,0.0
17,5,20040,2001,2006,0.0
17,5,20040,2006,2011,2.857142857142857
17,5,20040,2011,2017,11.764705882352942
17,5,20040,2017,2024,56.666666666666664
17,5,20061,2001,2006,0.0
17,5,20061,2006,2011,0.0
17,5,20061,2011,2018,0.0
17,5,20068,2002,2007,0.0
17,7,20043,2005,2010,0.0
17,7,20043,2010,2015,0.0
17,7,20043,2015,2022,0.0
17,7,20047,2004,2009,12.5
17,7,20047,2009,2015,14.285714285714286
17,7,20047,2015,2022,33.333333333333336
17,9,1,1985,1998,0.0
17,9,2,1985,1998,36.8421052631579
17,9,4,1985,1998,0.0
17,9,5,1985,1998,0.0
17,9,12,1985,1998,0.0
17,9,20,1985,1998,0.0
17,9,35,1985,1998,0.0
17,9,39,1985,1998,0.0
17,9,42,1985,1998,40.0
17,9,45,1985,1998,26.19047619047619
17,9,47,1985,1998,21.05263157894737
17,9,53,1985,1998,0.0
17,9,57,1985,1998,0.0
17,9,20002,2002,2007,0.0
17,9,20002,2007,2012,0.0
17,9,20002,2012,2018,6.666666666666667
17,9,20005,2005,2010,0.0
17,9,20017,2005,2010,0.0
17,9,20017,2010,2015,0.0
17,9,20028,2003,2008,3.5714285714285716
17,9,20028,2008,2013,0.0
17,9,20028,2013,2019,0.0
17,9,20035,2004,2009,0.0
17,9,20035,2009,2015,0.0
17,9,20035,2015,2022,0.0
17,9,20037,2002,2007,0.0
17,9,20037,2007,2012,6.25
17,9,20037,2012,2018,0.0
17,9,20038,2004,2009,0.0
17,9,20038,2009,2015,0.0
17,9,20040,2004,2009,0.0
17,9,20040,2009,2014,0.0
17,9,20040,2014,2021,0.0
17,9,20052,2004,2009,8.333333333333334
17,9,20052,2009,2014,0.0
17,9,20052,2014,2021,0.0
17,9,20053,2007,2012,0.0
17,9,20053,2012,2019,25.0
17,9,20059,2008,2013,0.0
17,9,20059,2013,2019,0.0
17,9,20201,2014,2021,0.0
17,9,20202,2003,2008,0.0
17,9,20202,2008,2013,0.0
17,9,20202,2013,2019,0.0
17,9,20203,2003,2008,0.0
17,9,20203,2008,2013,0.0
17,9,20203,2013,2019,0.0
17,9,29990,2005,2010,4.545454545454546
17,9,29990,2010,2016,0.0
17,9,29990,2016,2023,0.0
17,11,63,1985,1998,0.0
17,11,72,1985,1998,22.22222222222222
17,11,90,1985,1998,0.0
17,11,115,1985,1998,0.0
17,11,120,1985,1998,29.032258064516128
17,11,121,1985,1998,39.39393939393939
17,11,145,1985,1998,33.333333333333336
17,11,151,1985,1998,0.0
17,11,154,1985,1998,0.0
17,11,159,1985,1998,0.0
17,11,20040,2006,2011,0.0
17,11,20040,2011,2017,20.0
17,11,20045,2003,2008,10.0
17,11,20063,2001,2006,0.0
17,11,20063,2006,2011,0.0
17,11,20063,2011,2017,23.529411764705884
17,11,20063,2017,2024,0.0
17,11,20074,2005,2010,0.0
17,11,20074,2010,2015,0.0
17,11,20074,2015,2022,25.0
17,11,20077,2002,2007,0.0
17,11,20077,2007,2012,0.0
17,11,20077,2012,2018,0.0
17,11,20101,2001,2006,0.0
17,11,20115,2001,2006,17.647058823529413
17,11,20115,2006,2011,7.142857142857143
17,11,20115,2011,2017,15.384615384615385
17,11,20115,2017,2024,0.0
17,11,20149,2004,2009,0.0
17,11,20149,2009,2014,0.0
17,11,20149,2014,2021,8.333333333333334
17,11,20162,2005,2010,15.384615384615385
17,11,20162,2010,2016,18.181818181818183
17,11,20162,2016,2023,0.0
17,11,20169,2004,2015,42.857142857142854
17,11,20169,2015,2022,0.0
17,11,20200,2005,2010,0.0
17,11,20200,2010,2016,0.0
17,11,20200,2016,2023,0.0
17,13,1,1985,1998,0.0
17,13,6,1985,1998,0.0
17,13,8,1985,1998,22.580645161290324
17,13,11,1985,1998,0.0
17,13,14,1985,1998,25.58139534883721
17,13,15,1985,1998,33.333333333333336
17,13,16,1985,1998,0.0
17,13,17,1985,1998,31.818181818181817
17,13,19,1985,1998,6.25
17,13,21,1985,1998,50.0
17,13,22,1985,1998,25.0
17,13,23,1985,1998,0.0
17,13,27,1985,1998,0.0
17,13,30,1985,1998,5.0
17,13,31,1985,1998,0.0
17,13,33,1985,1998,0.0
17,13,35,1985,1998,37.5
17,13,36,1985,1998,9.67741935483871
17,13,37,1985,1998,0.0
17,13,40,1985,1998,30.434782608695652
17,13,44,1985,1998,33.333333333333336
17,13,20017,2002,2007,0.0
17,13,20017,2007,2012,0.0
17,13,20017,2012,2019,0.0
17,13,20018,2003,2008,0.0
17,13,20023,2002,2007,0.0
17,13,20023,2007,2012,3.8461538461538463
17,13,20023,2012,2019,0.0
17,13,20029,2003,2008,0.0
17,13,20029,2008,2013,0.0
17,13,20029,2013,2019,0.0
17,13,20038,2001,2006,0.0
17,13,20038,2006,2011,0.0
17,13,20038,2011,2017,20.930232558139537
17,13,20038,2017,2024,0.0
17,13,20043,2003,2008,0.0
17,13,20043,2008,2013,0.0
17,13,20043,2013,2020,0.0
17,13,20053,2002,2007,0.0
17,13,20053,2007,2012,14.285714285714286
17,13,20053,2012,2018,16.666666666666668
17,13,20055,2004,2009,0.0
17,13,20055,2009,2014,13.333333333333334
17,13,20055,2014,2021,0.0
17,13,20200,2005,2010,0.0
17,13,20200,2010,2016,5.882352941176471
17,13,20201,2004,2009,0.0
17,13,20201,2009,2015,14.285714285714286
17,13,20201,2015,2022,3.3333333333333335
17,13,20203,2004,2009,0.0
17,13,20203,2009,2015,3.0303030303030303
17,13,20203,2015,2022,9.375
17,13,20204,2002,2007,0.0
17,13,20204,2007,2012,0.0
17,13,20205,2005,2010,0.0
17,13,20205,2010,2016,0.0
17,13,20205,2016,2023,0.0
17,15,12,1985,1998,21.428571428571427
17,15,15,1985,1998,29.41176470588235
17,15,19,1985,1998,15.0
17,15,20022,2002,2007,0.0
17,15,20022,2007,2012,7.5
17,15,20022,2012,2018,18.91891891891892
17,15,20026,2005,2010,0.0
17,15,20026,2010,2016,16.666666666666668
17,15,20030,2004,2009,0.0
17,15,20030,2009,2014,0.0
17,15,20030,2014,2021,8.0
17,15,20031,2005,2010,0.0
17,15,20031,2010,2015,0.0
17,15,20031,2015,2022,0.0
17,15,20032,2003,2008,0.0
17,15,20032,2008,2013,0.0
17,15,20045,2001,2006,0.0
17,15,20045,2006,2011,50.0
17,15,20045,2011,2017,0.0
17,15,20045,2017,2024,0.0
17,15,20051,2004,2009,0.0
17,15,20051,2009,2014,3.3333333333333335
17,15,20051,2014,2021,0.0
17,15,20067,2003,2008,0.0
17,15,20067,2008,2013,0.0
17,15,20067,2013,2019,15.789473684210526
17,15,20091,2006,2011,0.0
17,15,20091,2011,2017,0.0
17,15,20091,2017,2024,0.0
17,15,20201,2005,2010,0.0
17,15,20201,2010,2022,11.11111111111111
17,17,8,1985,1998,4.3478260869565215
17,17,18,1985,1998,0.0
17,17,21,1985,1998,0.0
17,17,25,1985,1998,21.428571428571427
17,17,26,1985,1998,0.0
17,17,28,1985,1998,0.0
17,17,30,1985,1998,0.0
17,17,42,1985,1998,11.11111111111111
17,17,50,1985,1998,23.68421052631579
17,17,20009,2006,2011,0.0
17,17,20009,2011,2017,0.0
17,17,20016,2005,2010,26.666666666666668
17,17,20016,2010,2015,30.303030303030305
17,17,20016,2015,2022,17.391304347826086
17,17,20017,2002,2007,0.0
17,17,20017,2007,2012,0.0
17,17,20017,2012,2018,0.0
17,17,20021,2003,2008,0.0
17,17,20021,2008,2013,0.0
17,17,20021,2013,2020,0.0
17,17,20041,2003,2008,0.0
17,17,20041,2008,2019,21.62162162162162
17,17,20052,2005,2010,0.0
17,17,20052,2010,2016,2.0408163265306123
17,17,20052,2016,2023,4.166666666666667
17,17,20056,2002,2007,8.333333333333334
17,17,20056,2007,2012,0.0
17,17,20056,2012,2019,0.0
17,17,20202,2001,2006,0.0
17,17,20202,2006,2011,0.0
17,19,20088,2004,2009,0.0
17,19,20088,2009,2014,0.0
17,19,20088,2014,2021,0.0
17,21,3,1985,1998,0.0
17,21,42,1985,1998,17.142857142857142
17,21,51,1985,1998,0.0
17,21,61,1985,1998,20.0
17,21,63,1985,1998,0.0
17,21,20004,2002,2018,36.8421052631579
17,21,20012,2011,2017,0.0
17,21,20035,2002,2012,16.666666666666668
17,21,20035,2012,2018,0.0
17,21,20055,2003,2008,9.090909090909092
17,21,20055,2008,2013,0.0
17,21,20065,2005,2010,0.0
17,21,20065,2010,2016,0.0
17,21,20065,2016,2023,0.0
17,21,20079,2002,2012,20.0
17,21,20079,2012,2018,0.0
17,21,20091,2005,2010,0.0
17,21,20091,2010,2015,8.823529411764707
17,21,20091,2015,2022,19.35483870967742
17,23,1,1985,1998,0.0
17,23,8,1985,1998,0.0
17,23,9,1985,1998,0.0
17,23,20,1985,1998,0.0
17,23,24,1985,1998,0.0
17,23,27,1985,1998,0.0
17,23,30,1985,1998,0.0
17,23,35,1985,1998,29.545454545454547
17,23,36,1985,1998,44.44444444444444
17,23,38,1985,1998,0.0
17,23,41,1985,1998,0.0
17,23,43,1985,1998,0.0
17,23,64,1985,1998,0.0
17,23,66,1985,1998,0.0
17,23,69,1985,1998,0.0
17,23,71,1985,1998,0.0
17,23,72,1985,1998,0.0
17,23,89,1985,1998,5.2631578947368425
17,23,92,1985,1998,0.0
17,23,94,1985,1998,0.0
17,23,20010,2001,2006,0.0
17,23,20010,2006,2011,0.0
17,23,20010,2011,2017,30.434782608695652
17,23,20017,2001,2006,0.0
17,23,20017,2006,2011,0.0
17,23,20017,2011,2016,13.793103448275861
17,23,20017,2016,2023,0.0
17,23,20020,2005,2010,0.0
17,23,20029,2004,2009,0.0
17,23,20029,2009,2014,0.0
17,23,20029,2014,2021,9.090909090909092
17,23,20031,2002,2007,0.0
17,23,20031,2007,2012,0.0
17,23,20032,2004,2009,0.0
17,23,20032,2009,2014,2.9411764705882355
17,23,20032,2014,2021,3.0303030303030303
17,23,20037,2003,2008,0.0
17,23,20037,2008,2013,6.666666666666667
17,23,20037,2013,2020,0.0
17,23,20054,2001,2006,8.333333333333334
17,23,20054,2006,2011,4.545454545454546
17,23,20054,2011,2018,0.0
17,23,20064,2003,2008,0.0
17,23,20064,2008,2013,19.444444444444443
17,23,20064,2013,2020,3.4482758620689653
17,23,20067,2005,2010,0.0
17,23,20067,2010,2015,0.0
17,23,20067,2015,2022,13.043478260869565
17,23,20069,2005,2016,0.0
17,23,20091,2001,2006,0.0
17,23,20091,2006,2011,0.0
17,23,20091,2011,2017,50.0
17,23,20091,2017,2024,0.0
17,23,20102,2004,2009,0.0
17,23,20102,2009,2014,7.6923076923076925
17,23,20102,2014,2021,0.0
17,23,20110,2003,2008,2.7027027027027026
17,23,20110,2008,2013,8.333333333333334
17,23,20110,2013,2020,0.0
17,23,20113,2005,2010,0.0
17,23,20113,2010,2016,0.0
17,23,20113,2016,2023,0.0
17,23,20202,2003,2008,0.0
17,23,20202,2008,2013,0.0
17,25,2,1985,1998,0.0
17,25,3,1985,1998,20.0
17,25,4,1985,1998,24.0
17,25,15,1985,1998,0.0
17,25,34,1985,1998,24.074074074074073
17,25,57,1985,1998,34.48275862068966
17,25,65,1985,1998,0.0
17,25,74,1985,1998,13.043478260869565
17,25,75,1985,1998,0.0
17,25,77,1985,1998,39.130434782608695
17,25,78,1985,1998,26.31578947368421
17,25,80,1985,1998,0.0
17,25,81,1985,1998,0.0
17,25,90,1985,1998,3.7037037037037037
17,25,20029,2004,2009,0.0
17,25,20029,2009,2014,17.647058823529413
17,25,20029,2014,2021,14.285714285714286
17,25,20035,2003,2008,0.0
17,25,20035,2008,2013,0.0
17,25,20035,2013,2020,0.0
17,25,20045,2003,2008,0.0
17,25,20045,2008,2013,4.166666666666667
17,25,20045,2013,2019,0.0
17,25,20046,2015,2022,0.0
17,25,20052,2005,2010,0.0
17,25,20052,2010,2016,0.0
17,25,20052,2016,2023,0.0
17,25,20056,2005,2010,0.0
17,25,20056,2010,2015,0.0
17,25,20056,2015,2022,0.0
17,25,20061,2005,2010,0.0
17,25,20061,2010,2016,5.2631578947368425
17,25,20074,2001,2006,0.0
17,25,20074,2006,2011,4.0
17,25,20074,2011,2017,4.166666666666667
17,25,20074,2017,2024,0.0
17,25,20090,2001,2006,0.0
17,25,20090,2006,2011,0.0
17,25,20090,2011,2024,0.0
17,27,52,1985,1998,19.51219512195122
17,27,67,1985,1998,27.77777777777778
17,27,80,1985,1998,28.0
17,27,86,1985,1998,16.129032258064516
17,27,92,1985,1998,18.181818181818183
17,27,94,1985,1998,31.11111111111111
17,27,10201,2005,2010,0.0
17,27,10201,2010,2015,0.0
17,27,10201,2015,2022,0.0
17,27,20004,2017,2024,0.0
17,27,20006,2004,2009,0.0
17,27,20006,2009,2015,23.076923076923077
17,27,20006,2015,2022,0.0
17,27,20012,2006,2011,0.0
17,27,20012,2011,2017,0.0
17,27,20012,2017,2024,0.0
17,27,20073,2003,2008,33.333333333333336
17,27,20073,2008,2013,25.0
17,27,20073,2013,2020,33.333333333333336
17,27,20087,2003,2008,0.0
17,27,20087,2008,2013,0.0
17,27,20087,2013,2020,6.25
17,27,20096,2005,2010,0.0
17,27,20096,2010,2016,31.03448275862069
17,27,20096,2016,2023,0.0
17,27,20102,2007,2012,0.0
17,27,20102,2012,2019,0.0
17,29,1,1985,1998,0.0
17,29,70,1985,1998,28.26086956521739
17,29,71,1985,1998,9.375
17,29,76,1985,1998,0.0
17,29,77,1985,1998,0.0
17,29,78,1985,1998,0.0
17,29,89,1985,1998,0.0
17,29,92,1985,1998,0.0
17,29,93,1985,1998,0.0
17,29,20033,2004,2009,0.0
17,29,20035,2001,2006,11.11111111111111
17,29,20035,2006,2011,12.5
17,29,20035,2011,2017,0.0
17,29,20035,2017,2024,0.0
17,29,20048,2002,2007,0.0
17,29,20048,2007,2012,14.285714285714286
17,29,20048,2012,2018,5.555555555555555
17,29,20053,2002,2007,0.0
17,29,20053,2007,2012,7.894736842105263
17,29,20053,2012,2018,0.0
17,29,20064,2004,2009,5.555555555555555
17,29,20064,2009,2014,5.882352941176471
17,29,20064,2014,2021,12.5
17,29,20091,2002,2007,0.0
17,29,20091,2007,2019,15.0
17,29,20200,2001,2006,0.0
17,29,20200,2006,2011,6.666666666666667
17,29,20200,2011,2017,0.0
17,29,20200,2017,2024,17.857142857142858
17,31,20011,2002,2007,0.0
17,31,20011,2007,2012,10.0
17,31,20011,2012,2019,38.888888888888886
17,31,20039,2003,2013,0.0
17,31,20058,2003,2008,3.8461538461538463
17,31,20058,2008,2013,0.0
17,31,20058,2013,2020,0.0
17,31,20062,2003,2013,3.3333333333333335
17,31,20062,2013,2020,0.0
17,31,20075,2002,2007,0.0
17,31,20075,2007,2012,0.0
17,31,20075,2012,2018,0.0
17,31,20083,2004,2009,0.0
17,31,20083,2009,2014,0.0
17,31,20083,2014,2021,0.0
17,31,20107,2007,2012,0.0
17,31,20107,2012,2018,0.0
17,31,20116,2001,2006,12.195121951219512
17,31,20116,2006,2011,2.7777777777777777
17,31,20116,2011,2017,5.714285714285714
17,31,20116,2017,2024,0.0
17,31,20123,2004,2009,3.8461538461538463
17,31,20123,2009,2015,0.0
17,31,20123,2015,2022,7.142857142857143
17,31,20133,2006,2011,0.0
17,31,20133,2011,2017,6.666666666666667
17,31,20133,2017,2024,14.285714285714286
17,31,20156,2001,2006,0.0
17,31,20156,2006,2011,4.761904761904762
17,31,20156,2011,2018,0.0
17,31,20157,2009,2014,0.0
17,31,20157,2014,2021,0.0
17,31,20171,2005,2010,40.0
17,31,20171,2010,2016,0.0
17,31,20171,2016,2023,0.0
17,31,20202,2008,2013,0.0
17,31,20202,2013,2019,4.166666666666667
17,33,4,1985,1998,0.0
17,33,5,1985,1998,13.043478260869565
17,33,14,1985,1998,35.13513513513514
17,33,24,1985,1998,0.0
17,33,45,1985,1998,28.88888888888889
17,33,47,1985,1998,42.42424242424242
17,33,51,1985,1998,23.076923076923077
17,33,56,1985,1998,52.17391304347826
17,33,59,1985,1998,0.0
17,33,60,1985,1998,0.0
17,33,64,1985,1998,0.0
17,33,65,1985,1998,15.384615384615385
17,33,66,1985,1998,0.0
17,33,75,1985,1998,42.857142857142854
17,33,79,1985,1998,0.0
17,33,83,1985,1998,4.166666666666667
17,33,20009,2001,2006,0.0
17,33,20009,2006,2011,7.6923076923076925
17,33,20009,2011,2018,0.0
17,33,20035,2006,2011,0.0
17,33,20035,2011,2017,0.0
17,33,20035,2017,2024,0.0
17,33,20037,2003,2008,4.3478260869565215
17,33,20043,2005,2010,0.0
17,33,20043,2010,2015,16.666666666666668
17,33,20043,2015,2022,0.0
17,33,20070,2016,2023,0.0
17,33,20077,2003,2008,0.0
17,33,20077,2008,2013,5.555555555555555
17,33,20077,2013,2020,0.0
17,33,20079,2001,2006,2.7777777777777777
17,33,20079,2006,2011,0.0
17,33,20088,2002,2007,0.0
17,33,20088,2007,2012,0.0
17,33,20089,2005,2010,0.0
17,33,20089,2010,2015,4.3478260869565215
17,33,20095,2002,2007,0.0
17,33,20095,2007,2012,0.0
17,33,20095,2012,2019,0.0
17,33,20097,2003,2008,0.0
17,33,20097,2008,2013,0.0
17,33,20097,2013,2020,0.0
17,33,20200,2004,2009,0.0
17,33,20200,2009,2014,0.0
17,33,20200,2014,2021,7.407407407407407
17,33,20202,2004,2009,0.0
17,33,20202,2009,2014,0.0
17,33,20202,2014,2021,22.22222222222222
17,35,24,1985,1998,25.0
17,35,30,1985,1998,12.903225806451612
17,35,36,1985,1998,0.0
